原来的：
Nearest to 学习:人发:0.356684,测试:0.342013,三色:0.332529,细品:0.320289,误会:0.319688,满腔:0.313792,根本无法:0.312606,一双双:0.310593,
Nearest to 学习:★:0.538917,发发:0.518247,急急:0.502308,误会:0.481194,发送到:0.479006,测试:0.477685,补丁:0.471546,翻:0.470891,
Nearest to 学习:★:0.594635,发发:0.571940,急急:0.550284,发送到:0.545008,补丁:0.517859,─:0.506810,误会:0.488772,Association:0.483550,
Nearest to 学习:★:0.624559,发发:0.601894,发送到:0.580183,小手:0.579715,Х:0.577268,急急:0.575093,─:0.538140,补丁:0.533650,
Nearest to 学习:★:0.602642,发发:0.571911,Х:0.567281,发送到:0.555399,小手:0.555221,急急:0.554592,─:0.536125,亿:0.513642,
Nearest to 学习:★:0.603256,Х:0.563874,发发:0.562408,小手:0.551346,课程:0.542478,发送到:0.532817,─:0.532124,急急:0.529952,
Nearest to 学习:★:0.620737,发发:0.589435,Х:0.573717,小手:0.566044,发送到:0.554690,急急:0.551320,─:0.545617,小鼓:0.527764,
Nearest to 学习:★:0.641300,发发:0.607120,Х:0.604371,小手:0.581222,发送到:0.579812,急急:0.575383,─:0.551887,小鼓:0.522484,
Nearest to 学习:★:0.574906,Х:0.565124,发发:0.535782,小手:0.527348,─:0.521508,学:0.505440,急急:0.503178,迈进:0.502330,
Nearest to 学习:★:0.607244,Х:0.581874,小手:0.569113,发发:0.566405,─:0.543414,课程:0.541944,了解:0.533243,急急:0.524776,
Nearest to 学习:★:0.609286,发发:0.583142,Х:0.576076,小手:0.559815,─:0.541324,急急:0.535619,发送到:0.526185,小鼓:0.516059,
