Nearest to 课程:案列:0.387449,组微:0.363920,傻劲儿:0.353724,状:0.336183,一丝一毫:0.333461,全集:0.329452,系统性:0.318722,发球:0.318105,
Nearest to 课程:。:0.720912,发送到:0.698657,的:0.696191,，:0.661107,急急:0.653854,★:0.641119,了:0.638877,是:0.579344,
Nearest to 课程:。:0.775118,的:0.769781,了:0.735256,发送到:0.728073,，:0.721921,我:0.706462,课:0.695552,★:0.694736,
Nearest to 课程:。:0.793883,的:0.773932,课:0.751641,我:0.746018,发送到:0.737002,学习:0.736731,了:0.735507,★:0.720291,
Nearest to 课程:了:0.783839,课:0.781211,我:0.765700,发送到:0.764757,。:0.764265,的:0.762926,学习:0.761548,★:0.751380,
Nearest to 课程:。:0.870332,课:0.853027,的:0.847398,也:0.836681,学习:0.835275,了:0.824057,，:0.821297,是:0.814420,
Nearest to 课程:课:0.862825,学习:0.810016,。:0.792733,了:0.787091,我:0.783871,这:0.769262,也:0.765594,啦:0.762575,
Nearest to 课程:课:0.856765,这:0.780457,我:0.771534,学习:0.768421,啦:0.768230,教学:0.767277,发送到:0.764546,★:0.760054,
Nearest to 课程:课:0.832311,。:0.799029,啦:0.784386,发送到:0.779716,★:0.765405,我:0.759985,这:0.749645,教学:0.738778,
Nearest to 课程:课:0.856814,！:0.816357,。:0.802479,!:0.785239,啦:0.779735,★:0.776545,发送到:0.771404,也:0.763760,
Nearest to 课程:课:0.860047,这:0.761129,★:0.737470,学习:0.732443,教学:0.731044,发送到:0.727498,!:0.726166,！:0.724304,
