Nearest to 课程:无精打采:0.351225,讲师:0.348436,工课:0.341316,花托:0.334004,处理器:0.330533,課學:0.324222,更长:0.318216,南部:0.310214,
Nearest to 课程:大学本科:0.349947,斧子:0.349635,880767:0.342386,必学:0.322833,等级:0.318581,地震:0.316196,方式:0.315295,珍藏版:0.311416,
Nearest to 课程:。:0.581691,急急:0.570857,发送到:0.565900,课:0.546839,发发:0.535878,啦:0.526584,★:0.525225,名单:0.524683,
Nearest to 课程:课:0.666643,急急:0.586867,─:0.585018,发送到:0.580475,发发:0.546467,★:0.540548,啦:0.535200,名单:0.531535,
Nearest to 课程:课:0.712305,─:0.596704,发送到:0.591545,急急:0.588227,发发:0.559577,啦:0.549616,看病:0.548489,★:0.545892,
Nearest to 课程:课:0.727377,发送到:0.610518,─:0.607878,急急:0.602996,。:0.602199,发发:0.589573,看病:0.580602,啦:0.570600,
Nearest to 课程:课:0.763126,─:0.605157,发送到:0.599952,急急:0.597307,!:0.593829,小熊:0.586421,看病:0.580683,发发:0.573685,
Nearest to 课程:课:0.774661,急急:0.601701,─:0.598714,发送到:0.598282,!:0.587274,发发:0.570601,看病:0.556970,小熊:0.556344,
Nearest to 课程:课:0.775231,─:0.602154,发送到:0.599749,急急:0.590512,!:0.580482,发发:0.579678,看病:0.555020,过程:0.539393,
Nearest to 课程:课:0.752067,─:0.598890,。:0.582180,!:0.572055,看病:0.570261,使者:0.545720,发发:0.544946,发送到:0.534994,
Nearest to 课程:课:0.772130,─:0.599901,发送到:0.586210,急急:0.575558,看病:0.572019,发发:0.562426,小熊:0.555275,!:0.554219,
Nearest to 课程:课:0.787491,─:0.570488,发送到:0.570449,急急:0.562970,看病:0.549920,发发:0.545193,!:0.541051,小熊:0.534370,
