Nearest to 学习:不太难:0.342590,空洞无物:0.333166,40:0.330716,道行:0.330514,翻转:0.327828,打结:0.323399,微机室:0.322732,meet:0.321492,
Nearest to 学习:的:0.666188,─:0.653714,。:0.644296,在:0.618627,%:0.608920,活在:0.587215,°:0.580975,，:0.580254,
Nearest to 学习:。:0.767624,的:0.759699,─:0.748783,，:0.743067,〉:0.726051,了:0.715872,︱:0.715404,和:0.710915,
Nearest to 学习:。:0.819427,─:0.806345,的:0.800452,，:0.794445,〉:0.784308,了:0.779952,和:0.779802,是:0.769476,
Nearest to 学习:的:0.827197,。:0.816329,和:0.814724,─:0.799101,了:0.793845,让:0.791550,，:0.790664,〉:0.790553,
Nearest to 学习:和:0.833216,─:0.833047,让:0.816901,的:0.813195,也:0.804032,课程:0.801164,，:0.799817,〉:0.799809,
Nearest to 学习:课程:0.887152,和:0.871510,也:0.863597,的:0.859699,。:0.858281,有:0.854493,让:0.851554,在:0.838791,
Nearest to 学习:课程:0.845318,和:0.837016,让:0.829148,我们:0.811741,对:0.807736,自己:0.806333,有:0.805058,也:0.805030,
Nearest to 学习:课程:0.850767,的:0.843964,，:0.843188,和:0.840461,好好:0.837603,凤飞飞:0.832399,。:0.828413,了:0.822344,
Nearest to 学习:课程:0.847000,凤飞飞:0.838378,好好:0.829121,急急:0.825584,也:0.808624,的:0.808165,。:0.805691,，:0.804561,
Nearest to 学习:凤飞飞:0.822505,的:0.812717,这:0.810367,急急:0.809429,好好:0.807680,课程:0.798459,。:0.790613,，:0.775033,
